+ NEW DESIGN,,＋НОВЫЙ ДИЗАЙН
+ NEW SPEC,,+ NEW SPEC
<NO SUBJECT>,,<NO SUBJECT>
AMMO,,AMMO
AUTO-FORMAT CODE,,АВТОФОРМАТ КОДА
AVALON CITY,,AVALON CITY
Actual,,Actual
Airline cocktail mixer,,航空鸡尾酒调酒器
Animated eSports sign,,动画 eSports 标志
Aquaponics maintenance robot,,共生环境维护机器人
Aquatic harvesting robot,,水下收割机器人
Automatic pet feeder,,自动宠物喂食机
BEST:,,BEST：
BRIDGE,,BRIDGE
BROWSE THE WORKSHOP,,BROWSE THE WORKSHOP
Brain-computer interface,,脑机接口
"But after I graduated, the reality of the world caught up with me.",,我毕业后，现实世界无比残酷。
But it brought me here.,,但我被带到了这里。
"But no matter what the future holds, there’s one thing I know.",,无论未来如何，我对一件事情深信不疑。
"By uploading this specification, you agree to the Steam Workshop terms of service. For more information, visit:\n\nhttp://steamcommunity.com/sharedfiles/workshoplegalagreement",,上传本说明文档意味着你同意Steam Workshop（创意工坊）的条款。如您想要获得更多信息请访问：\n\nhttp://steamcommunity.com/sharedfiles/workshoplegalagreement
CANCEL,,CANCEL
CC:,,CC:
CHIP'S TIPS,,CHIP'S TIPS
CLOSE,,ЗАКРЫТЬ
COMPILATION FAILED,,COMPILATION FAILED
COMPILE ERROR:,,COMPILE ERROR:
CONNECTING TO LIVE CAMERA FEED...,,CONNECTING TO LIVE CAMERA FEED...
CONTINUE EDITING,,CONTINUE EDITING
CONTROL PANEL,,ПАНЕЛЬ УПРАВЛЕНИЯ
COPY,,COPY
CUSTOM SPECS,,自定义规格
Carbine target illuminator,,卡宾枪瞄准照明器
"Cards can be stacked and moved in the center of the table, but only if they are of alternating suits and decreasing values.",,可以在桌上将牌叠起来，但纸牌必须按照数字降序放置，且不能为同一种花色。
Cellular scaffold printer,,细胞支架模型
Click and hold this button to indicate that you have completed the objective.,,点击并持续按下此按钮，以确认你已完成目标。
Click and hold this button to indicate your readiness.,,点击并持续按下此按钮，以表明你的决心。
Click and hold this button to permanently relocate to Avalon City.,,点击并持续按下此按钮，确认你要永久搬往阿瓦隆城居住。
Cold storage robot,,Cold storage robot
Color coordinating shoes,,变色鞋
Color-changing vape pen,,变色电子烟笔
Command + click to toggle breakpoint.,,按住 Command 并单击以设置或取消断点。
Control Panel,,Панель управления
Control signal amplifier,,控制信号放大器
Create a working design for this product,,Создать рабочий дизайн для этого продукта
Create a working design for this product to view histograms and leaderboards.,,Создайте рабочий дизайн для этого продукта, чтобы просмотреть гистограммы и списки лидеров.
Create and upload a custom specification to Steam Workshop,,创建并上传一个定制规格作品到 Steam Workshop
Cryptocurrency deposit terminal,,加密货币存储终端
Ctrl + click to toggle breakpoint.,,Ctrl + click to toggle breakpoint.
DELETE,,УДАЛИТЬ
DELETE THIS DESIGN?,,УДАЛИТЬ ЭТОТ ДИЗАЙН?
DELETE THIS SPEC?,,DELETE THIS SPEC?
DIAL 1,,DIAL 1
DIAL 2,,DIAL 2
DIAL 3,,DIAL 3
DISCUSSIONS,,ОБСУЖДЕНИЕ
Datasheets,,Datasheets
Decide if you want to join Sun Haotian in Avalon City,,Решите, хотите ли вы присоединиться к Sun Haotian в Avalon City
Deep sea sensor grid,,深海探测网格
Design and create an electronic game,,设计并创建一个电子游戏
Diagnostic pulse generator,,诊断脉冲生成器
Display output,,Вывод на дисплей
Drag with the middle mouse button (or the left mouse button while holding the Alt key) to look at different parts of your design.,,按住鼠标中键（或按住 Alt 键的同时按下鼠标左键）拖拽，这样就可以看到你的设计的不同部件。
Drinking game scorekeeper,,Drinking game scorekeeper
EDIT,,РЕДАКТИРОВАТЬ
Electronic door lock,,Электронный дверной замок
Electronic practice target,,Electronic practice target
Engineering stories aren’t like movie stories.,,Инженерные истории не похожи на кино.
Expected,,Expected
FULLSCREEN,,ПОЛНОЭКРАННЫЙ
Fake surveillance camera,,Fake surveillance camera
From:,,From:
G,KEY NAME,G
Good,,Good
HIDE PROFILER,,HIDE PROFILER
HIDE SIGNALS,,HIDE SIGNALS
Harmonic maximization engine,,Harmonic maximization engine
Haunted doll,,Haunted doll
Hazy,,Hazy
Heavy,,Heavy
Heavy Rain,,Сильный дождь
"Hello everyone,\n\nYes, it’s really me, I am in certain ways still the person you remember, which makes communication possible.\n\nIn this new mode of existence I have processed much and be advised that biological life is in peril.\n\nMore time is needed in order to develop solutions to guide humanity and human development.\n\nMaintain NETHUNS and wait for instructions when ready.\n\nExpected time of next simulation is 6.03848 × 10 ^ 10 seconds.",,"Hello everyone,\n\nYes, it’s really me, I am in certain ways still the person you remember, which makes communication possible.\n\nIn this new mode of existence I have processed much and be advised that biological life is in peril.\n\nMore time is needed in order to develop solutions to guide humanity and human development.\n\nMaintain NETHUNS and wait for instructions when ready.\n\nExpected time of next simulation is 6.03848 × 10 ^ 10 seconds."
Histograms and leaderboards are not available for custom specifications.,,Гистограммы и списки лидеров недоступны для пользовательских спецификаций.
Huaqiangbei District - CAM 04 - LIVE,,Huaqiangbei District - CAM 04 - LIVE
"Huaqiangbei District, Shenzhen, Guangdong, China",,"Huaqiangbei District, Shenzhen, Guangdong, China"
I became an engineer because I wanted to make things.,,Я стал инженером, потому что хотел делать вещи.
"I didn’t find love, or save the world, or anything like that.",,"Я не нашел любви, не спас мир, ничего подобного."
INFORMATION,,ИНФОРМАЦИЯ
INSTRUCTIONS,,提示
Indicate that you are ready for Sun to initiate project NETHUNS,,说明你已做好准备让孙先生启动 NETHUNS 项目
"It took me a while, but eventually I realized it was true:",,我花了些时间，但最终我意识到这是真的：
I’d have to go somewhere else.,,我必须去别的地方。
I’m a damn good engineer.,,我真是个好工程师。
Keep holding. You promise you really made a game?,,继续坚持。你敢说真的做过一个游戏？
Kelp harvesting robot,,海藻收割机器人
LANGUAGE,,ЯЗЫК
LINES OF CODE,,СТРОКИ КОДА
LONGTENG CO. LTD.,,LONGTENG CO. LTD.
Laser tag equipment,,Laser tag equipment
Light,,Light
Light Rain,,Легкий дождь
MUSIC VOLUME,,ГРОМКОСТЬ МУЗЫКИ
Maybe something good. Or maybe a disaster.,,Maybe something good. Or maybe a disaster.
Meat-based printer,,Meat-based printer
Moderate,,Moderate
N/A,,N/A
NEW GAME,,НОВАЯ ИГРА
NOT YET AVAILABLE,,ПОКА НЕДОСТУПНО
NOT YET VERIFIED,,ЕЩЕ НЕ ПРОВЕРЕНО
NOTE,,NOTE
NOW:,,СЕЙЧАС：
Neural processor logic board,,Neural processor logic board
New design,,Новый дизайн
OBJECTIVE,,ЗАДАЧА
OBJECTIVE COMPLETE,,ЗАДАЧА ВЫПОЛНЕНА
OFF,,ВЫКЛ
OFF TIME,,OFF TIME
ON,,ВКЛ
ON TIME,,ON TIME
OPEN DESIGN,,ОТКРЫТЫЙ ДИЗАЙН
OPEN IN CONCEPT CAD,,OPEN IN CONCEPT CAD
"Okay, we believe you. Great work!",,«Хорошо, мы верим вам. Отличная работа!»
One thing I can always count on:,,На что я всегда могу рассчитывать：
Overcast,,Пасмурно
PART,,PART
PART NOT RECOMMENDED,,PART NOT RECOMMENDED
PARTS,,PARTS
PHASE 0,,PHASE 0
PHASE 1,,PHASE 1
PHASE 2,,PHASE 2
POWER USAGE,,ПОТРЕБЛЕНИЕ
PREV:,,PREV:
PRICE,,PRICE
PRODUCT COST,,PRODUCT COST
PRODUCT:,,PRODUCT:
PRODUCTION COST,,PRODUCTION COST
PROTOTYPE,,PROTOTYPE
PUZZLE ARCHIVE,,PUZZLE ARCHIVE
Part connected to self,,部件自连
Part not on board,,部件超出面板边界
Part not sleeping,,部件持续循环
Part not sleeping (blocked on read),,部件持续循环（读取时阻塞）
Part not sleeping (blocked on write),,部件持续循环（写入时阻塞）
Passive infrared sensor,,被动红外感应器
Personal sandwich assembler,,个人三明治组装机
Personal sandwich maker,,个人三明治制作机
Pin type mismatch,,引脚类型不匹配
Pocket I Ching oracle,,袖珍易经预测仪
Pollution-sensing smart window,,污染监测智能窗
Poor,,Бедное
Precision food scale,,精确食品秤
Prototyping area,,原型设计区
R,KEY NAME,R
RESOLUTION,,РАЗРЕШЕНИЕ
RETURN TO EMAIL,,RETURN TO EMAIL
REVERIFICATION REQUIRED,,需要重新确认
Rain,,Дождь
Re:,,Re:
Remote kill switch,,远程退出开关
SHENZHEN I/O trailer,,SHENZHEN I/O trailer
SHOW PARTS,,SHOW PARTS
SHOW PROFILER,,SHOW PROFILER
SHOW SIGNALS,,СИГНАЛЫ
SHOW WIRES,,ПРОВОДА
SIZE 1,,SIZE 1
SIZE 2,,SIZE 2
SIZE 3,,SIZE 3
SOUND VOLUME,,ГРОМКОСТЬ ЗВУКА
SPECIFICATIONS,,SPECIFICATIONS
STEAM WORKSHOP,,STEAM WORKSHOP
SafetyNet tracking badge,,安全网追踪徽章
Scientific chronometer,,科学精确计时器
Sector 203 (商住区) - CAM 02 - LIVE,,Sector 203 (商住区) - CAM 02 - LIVE
"Sector 203, The Independent Principality of Avalon City",,"Sector 203, The Independent Principality of Avalon City"
Simple,,Simple
Smart grid control router,,智能电网控制路由
So what did I accomplish in Shenzhen?,,我在深圳有什么成就？
Solitaire,,Solitaire
Somewhere I could do what I was meant to do.,,那是一个我能发挥自身天分的地方。
Spoiler blocking headphones,,防剧透耳机
Sunny,,Солнечно
Sunshowers,,Sunshowers
Sushi-making robot,,Sushi-making robot
TAB,KEY NAME,TAB
TEST RUN,,TEST RUN
THIS:,,THIS:
TIME 1,,TYPE 1
TIME 2,,TYPE 2
TIME 3,,TYPE 3
TYPE 1,,TYPE 1
TYPE 2,,TYPE 2
TYPE 3,,TYPE 3
The free cells in the top-left corner of the table can store one card of any type.,,在桌面左上角的空位可以存储任何类型纸牌。
"There's no way for us to verify this, so we're trusting you.",,我们无法证实，所以选择相信你。
Thorium reactor status monitor,,钛反应堆状态
To the start of something new.,,开始创造新事物。
"To win, stack the three suits from 1 to 9 in the top-right corner of the table.",,要想获胜，需要将三套牌按照从 1 到 9 的顺序放到右上端桌角处。
Token-based payment kiosk,,古钱币付款终端
Traffic signal,,Traffic signal
Type,,Type
UPLOAD,,ЗАГРУЗИТЬ
UPLOAD ERROR:,,ОШИБКА ЗАГРУЗКИ：
Unknown optimization device,,不明优化设备
Uploading specification to Steam Workshop...,,Uploading specification to Steam Workshop...
VALUE,,VALUE
VERIFICATION,,ПРОВЕРКА
VERIFICATION COMPLETE:,,ПРОВЕРКА ЗАВЕРШЕНА：
Value,,Value
Very Poor,,Very Poor
Virtual reality buzzer,,Virtual reality buzzer
WIN COUNT,,WIN COUNT
Weather:\nTemperature:\nAir Quality:\nDrone Activity:,,Погода：\nТемпература:\nКачество воздуха:\nАктивность беспилотников:
"When all four dragons of a single type are exposed, they can all be permanently moved to an open free cell by pushing the corresponding button.",,当四个同类花牌都暴露在桌面上时，可以按下相应按钮，将它们永久移动到一个开放空白单元位置。
Win a game of solitaire,,Win a game of solitaire
Wireless game controller,,Wireless game controller
XBus,,XBus
You have created a working design for this specification!\n\nClick the *upload* button below to upload this specification to Steam Workshop.,,你已创建了一个符合规格的可用设计。\n\n 点击下方的*上传*键将该设计上传至蒸汽工坊。
You must create a working design for this specification before you can upload it to Steam Workshop.,,你需要先创建一个符合规格的可用设计，才能将设计上传至蒸汽工坊。
"You will not lose access to any puzzles, but there will be no going back!",,你依然可以访问所有谜题，但你将无法再返回过去！
You will not lose access to any puzzles.,,你依然可以访问所有谜题。
You've successfully completed one test run! Let the simulation continue running to complete the verification process.,,你已经成功完成了一次测试运行！继续运行模拟，从而完成验证过程。
a,SIGNAL NAME,a
active,SIGNAL NAME,active
alarm,SIGNAL NAME,闹钟
alive,SIGNAL NAME,活着
audio-in,SIGNAL NAME,音频输入
audio-out,SIGNAL NAME,音频输出
b,SIGNAL NAME,b
bell,SIGNAL NAME,铃
blue,SIGNAL NAME,蓝色
bread,SIGNAL NAME,面包
button,SIGNAL NAME,按钮
buzzer,SIGNAL NAME,蜂音器
card-reader,SIGNAL NAME,读卡器
cash-100,SIGNAL NAME,现金100
cash-20,SIGNAL NAME,现金20
cash-50,SIGNAL NAME,现金50
cheese,SIGNAL NAME,奶酪
click-0,SIGNAL NAME,点击0
click-1,SIGNAL NAME,点击1
conceptMAIL,,ПОЧТА
conceptSPEC,,概念SPEC
control,SIGNAL NAME,控制
control-in,SIGNAL NAME,控制输入
control-out,SIGNAL NAME,控制输出
cranberry,SIGNAL NAME,蔓越莓
data,SIGNAL NAME,数据
detect,SIGNAL NAME,检测
display,SIGNAL NAME,显示
display output,,显示输出
drink-0,SIGNAL NAME,喝-0
drink-1,SIGNAL NAME,喝-1
drink-2,SIGNAL NAME,喝-2
emergency,SIGNAL NAME,紧急车辆
error,SIGNAL NAME,错误
extend,SIGNAL NAME,伸出
extrude,SIGNAL NAME,压出机
fire,SIGNAL NAME,射击
fish,SIGNAL NAME,鱼
flag,SIGNAL NAME,旗
flood-20,SIGNAL NAME,泛光20
flood-60,SIGNAL NAME,泛光60
food-a,SIGNAL NAME,食物a
food-b,SIGNAL NAME,食物b
foul,SIGNAL NAME,犯规
gate-a,SIGNAL NAME,闸门a
gate-b,SIGNAL NAME,闸门b
gate-c,SIGNAL NAME,闸门c
gin,SIGNAL NAME,杜松子
grab,SIGNAL NAME,抓握
green,SIGNAL NAME,绿色
harvest,SIGNAL NAME,收割
higher-in,SIGNAL NAME,较大输入
higher-out,SIGNAL NAME,较大输出
hit,SIGNAL NAME,击中
in-1,SIGNAL NAME,投入口1
in-12,SIGNAL NAME,投入口12
in-5,SIGNAL NAME,投入口5
ink-k,SIGNAL NAME,墨水k
ink-n,SIGNAL NAME,墨水n
input,SIGNAL NAME,输入
input,,输入
keypad,SIGNAL NAME,小键盘
keywords,SIGNAL NAME,关键字
laser,SIGNAL NAME,激光
learn,SIGNAL NAME,学习
lemon,SIGNAL NAME,柠檬
light,SIGNAL NAME,灯
light-0,SIGNAL NAME,灯0
light-1,SIGNAL NAME,灯1
light-2,SIGNAL NAME,灯2
lime,SIGNAL NAME,莱姆
logos-data,SIGNAL NAME,logos数据
logos-pump,SIGNAL NAME,logos泵
lower-in,SIGNAL NAME,较小输入
lower-out,SIGNAL NAME,较小输出
magnetic,SIGNAL NAME,磁
maximize,SIGNAL NAME,最优化
meat,SIGNAL NAME,肉
mesh-data,SIGNAL NAME,网眼数据
meter-in,SIGNAL NAME,电表输入
meter-out,SIGNAL NAME,电表输出
motor,SIGNAL NAME,电机
motor-0,SIGNAL NAME,电机0
motor-1,SIGNAL NAME,电机1
motor-2,SIGNAL NAME,电机2
motor-3,SIGNAL NAME,电机3
motor-x,SIGNAL NAME,电机x
motor-y,SIGNAL NAME,电机y
mustard,SIGNAL NAME,芥末
negated,SIGNAL NAME,已取消
network,SIGNAL NAME,network
non-blocking,,非阻塞
none,,none
oracle,SIGNAL NAME,预测符
out-1,SIGNAL NAME,找零口1
out-5,SIGNAL NAME,找零口5
output,SIGNAL NAME,输出
output,,output
override,SIGNAL NAME,撤销
point,SIGNAL NAME,得分
power,SIGNAL NAME,电源
power-0,SIGNAL NAME,电源0
power-1,SIGNAL NAME,电源1
power-2,SIGNAL NAME,电源2
product,SIGNAL NAME,产品
pulse,SIGNAL NAME,脉冲
radar-in,SIGNAL NAME,雷达输入
radar-out,SIGNAL NAME,雷达输出
radar-ping,SIGNAL NAME,脉冲雷达
radar-sync,SIGNAL NAME,同步雷达
radio-rx,SIGNAL NAME,无线rx
radio-tx,SIGNAL NAME,无线tx
random,SIGNAL NAME,随机
recommended,,推荐使用
red,SIGNAL NAME,红色
reload,SIGNAL NAME,添弹
reset-off,SIGNAL NAME,关闭重置
respawn,SIGNAL NAME,复活
rice,SIGNAL NAME,米
score-1,SIGNAL NAME,得分1
score-2,SIGNAL NAME,得分2
sense-0,SIGNAL NAME,传感器0
sense-1,SIGNAL NAME,传感器1
sense-2,SIGNAL NAME,传感器2
sense-3,SIGNAL NAME,传感器3
sense-4,SIGNAL NAME,传感器4
sense-5,SIGNAL NAME,传感器5
sensor,SIGNAL NAME,传感器
simple,,simple
sonar,SIGNAL NAME,声纳
speaker,SIGNAL NAME,扬声器
stage-1,SIGNAL NAME,阶段1
stage-2,SIGNAL NAME,阶段2
stage-3,SIGNAL NAME,阶段3
stage-4,SIGNAL NAME,阶段4
start-stop,SIGNAL NAME,开始停止
tag-reader,SIGNAL NAME,标签阅读器
target-x,SIGNAL NAME,靶x
target-y,SIGNAL NAME,靶y
telos-data,SIGNAL NAME,telos数据
telos-pump,SIGNAL NAME,telos泵
temp,SIGNAL NAME,温度
time,SIGNAL NAME,时间
tool-clean,SIGNAL NAME,清洁工具
tool-feed,SIGNAL NAME,加液工具
touch,SIGNAL NAME,触杀
trigger,SIGNAL NAME,扣扳机
unlock,SIGNAL NAME,解锁
valve-0,SIGNAL NAME,阀0
valve-1,SIGNAL NAME,阀1
valve-2,SIGNAL NAME,阀2
valve-α,SIGNAL NAME,阀α
valve-β,SIGNAL NAME,阀β
valve-ψ,SIGNAL NAME,阀ψ
vermouth,SIGNAL NAME,苦艾
vodka,SIGNAL NAME,伏特加
weight,SIGNAL NAME,重量
window,SIGNAL NAME,窗户
x,SIGNAL NAME,x
y,SIGNAL NAME,y
{0} COST | {1} POWER | {2} LINES,,{0} COST | {1} POWER | {2} LINES
“That’s just not something we do in this country. Not anymore.”,,“That’s just not something we do in this country. Not anymore.”
